id,name,birth_canton,lat,long,wikidata_uri
208,Binningen,BL,,,
209,Seebach,ZH,,,
210,Baden,AG,,,
211,Entlebuch,LU,,,
212,Fribourg,FR,,,
213,Mendrisio,TI,,,
214,"Féchy",VD,,,
215,Niederhelfenschwil,SG,,,
216,"Wäschenbeuren (Baden-Württemberg)",Etranger,,,
217,Beyrouth,Etranger,,,
218,Wilderswil,BE,,,
219,"La Sagne",NE,,,
220,Budapest,Etranger,,,
221,Cartigny,GE,,,
222,Avignon,Etranger,,,
223,Naples,Etranger,,,
224,Altstetten,ZH,,,
225,Satigny,GE,,,
226,"Lyss (BE)",BE,,,
227,Wetzikon,ZH,,,
228,"Les Hauts-Geneveys",NE,,,
229,Trieste,Etranger,,,
230,Varsovie,Etranger,,,
231,"Macerata Feltria",Etranger,,,
232,Elgg,ZH,,,
233,"Sépey-près-Vulliens",VD,,,
234,Schwarzenegg,BE,,,
235,Vallorbe,VD,,,
236,"Modène",Etranger,,,
237,Zollikon,ZH,,,
238,"Grandchamp (comm. Boudry)",NE,,,
239,"Dorpat (Russie, auj. Tartu en Estonie)",Etranger,,,
240,Elsau,ZH,,,
241,"Krzecin (Galicie, Autriche-Hongrie, auj. Pologne)",Etranger,,,
242,"Stade près de l'Elbe",Etranger,,,
243,"Wülflingen (auj. comm. Winterthour)",ZH,,,
244,Fleurier,NE,,,
245,"Illzach (Alsace)",Etranger,,,
246,Kiel,Etranger,,,
247,"Brülisau (comm. Rüte)",AI,,,
248,Heiden,SG,,,
249,Rolle,VD,,,
250,Pully,VD,,,
251,"Göttingen",Etranger,,,
252,Lauenen,BE,,,
253,Montpellier,Etranger,,,
254,"Buchdorf (Bavière)",Etranger,,,
255,Giessen,Etranger,,,
256,Francfort-sur-le-Main,Etranger,,,
257,Bonn,Etranger,,,
258,"Delémont",BE,,,
259,Utrecht,Etranger,,,
260,"Wünnewil",FR,,,
261,Strasbourg,Etranger,,,
262,"Saint-Pargoire (Languedoc)",Etranger,,,
263,"Heilbronn (Wurtemberg)",Etranger,,,
264,Amriswil,TG,,,
265,"Walzenhausen (AR)",AR,,,
266,"Münchenbuchsee (BE)",BE,,,
267,Trubschachen,BE,,,
268,Steffisburg,BE,,,
269,Lemberg,Etranger,,,
270,"Oberburg (BE)",BE,,,
271,"Sonvilier (BE)",BE,,,
272,"Hirzel (ZH)",ZH,,,
273,Orpund,BE,,,
274,"Gossau (SG)",SG,,,
275,"Weinfelden (TG)",TG,,,
276,"Saint-Mihiel (Lorraine)",Etranger,,,
277,Barcelone,Etranger,,,
278,Nuremberg,Etranger,,,
279,Walenstadt,SG,,,
280,Brest,Etranger,,,
281,Annemasse,Etranger,,,
282,"Olten (SO)",SO,,,
283,Sholapore,Etranger,,,
284,Nantes,Etranger,,,
285,Fully,VS,,,
286,"Grisolia Cipollina, Cosenza",Etranger,,,
287,Brigue,VS,,,
288,Karlsruhe,Etranger,,,
289,Suhl,Etranger,,,
290,Arnstadt,Etranger,,,
291,Nankin,Etranger,,,
292,Atzelsdorf,Etranger,,,
293,Bremerhaven,Etranger,,,
294,Marseille,Etranger,,,
295,Thoune,BE,,,
296,"Athènes",Etranger,,,
297,Guggisberg,BE,,,
298,"Gross Neukirch",Etranger,,,
299,Arosa,GR,,,
300,"Aurich (Frise orientale)",Etranger,,,
301,Altishofen,LU,,,
302,Moutier,BE,,,
303,"Hasle bei Burgdorf",BE,,,
304,Wald,ZH,,,
305,Madrid,Etranger,,,
306,Hohenems,Etranger,,,
307,Wolfhalden,AR,,,
308,Schaffhausen,ZH,,,
309,Locarno,TI,,,
310,Stein,AG,,,
311,Trimbach,SO,,,
312,Stuttgart,Etranger,,,
313,Nordhausen,Etranger,,,
314,"Saarbrücken",Etranger,,,
315,Saint-Imier,BE,,,
316,Dresde,Etranger,,,
317,Tobel,TG,,,
318,"Köniz",BE,,,
319,Kloten,ZH,,,
320,Leon,Etranger,,,
321,"Prien, Bavière",Etranger,,,
322,Nepi,Etranger,,,
323,Orbe,VD,,,
324,Sulgen,TG,,,
325,Bordeaux,Etranger,,,
326,Echallens,VD,,,
327,Bellegarde,Etranger,,,
328,"Iowa City",Etranger,,,
329,Toronto,Etranger,,,
330,"Verrières",Etranger,,,
331,Treysa,Etranger,,,
332,Blaubeuren,Etranger,,,
333,"Tübingen",Etranger,,,
334,Ilmenau,Etranger,,,
335,"Radès",Etranger,,,
336,"Neuchâtel",VD,,,
337,Prague,Etranger,,,
338,"Môtiers",NE,,,
339,"Berleburg (Westphalie)",Etranger,,,
340,Chemnitz,Etranger,,,
