id,name,birth_canton,lat,long,wikidata_uri
201,Pontresina,GR,46.4907,9.9052,https://www.wikidata.org/wiki/Q56292838
202,Petit-Saconnex,GE,46.22427,6.12076,https://www.wikidata.org/wiki/Q3225401
203,Monte-Carlo,Etranger,,,
204,Bubikon,ZH,,,
205,Courtételle,JU,47.34074,7.31827,https://www.wikidata.org/wiki/Q22401758
206,Auw,AG,,,
207,Zofingen,AG,47.28836,7.94754,https://www.wikidata.org/wiki/Q63986
208,Binningen,BL,,,
209,Seebach,ZH,,,
210,Baden,AG,,,
211,Entlebuch,LU,46.99559,8.06354,https://www.wikidata.org/wiki/Q22414457
212,Fribourg,FR,,,
213,Mendrisio,TI,45.866666666667,8.9833333333333,https://www.wikidata.org/wiki/Q69041
214,Féchy,VD,,,
215,Niederhelfenschwil,SG,47.47487,9.18543,https://www.wikidata.org/wiki/Q22610753
216,Wäschenbeuren,Etranger,48.75989,9.68698,https://www.wikidata.org/wiki/Q32765547
217,Beirut,Etranger,33.886944444444,35.513055555556,https://www.wikidata.org/wiki/Q3820
218,Wilderswil,BE,46.666388888889,7.8666666666667,https://www.wikidata.org/wiki/Q69256
219,La Sagne,NE,47.04591,6.80946,https://www.wikidata.org/wiki/Q22584593
220,Budapest,Etranger,47.498333333333,19.040833333333,https://www.wikidata.org/wiki/Q1781
221,Cartigny,GE,,,
222,Avignon,Etranger,,,
223,Naples,Etranger,,,
224,Altstetten,ZH,,,
225,Satigny,GE,46.21462,6.03553,https://www.wikidata.org/wiki/Q22429026
226,Wetzikon,ZH,47.320833333333,8.7930555555556,https://www.wikidata.org/wiki/Q68305
227,Les Hauts-Geneveys,NE,47.05,6.8833333333333,https://www.wikidata.org/wiki/Q68694
228,Trieste,Etranger,,,
229,Warsaw,Etranger,52.23,21.011111111111113,https://www.wikidata.org/wiki/Q270
230,Macerata Feltria,Etranger,43.80285,12.44204,https://www.wikidata.org/wiki/Q30026821
231,Elgg,ZH,47.49715,8.86523,https://www.wikidata.org/wiki/Q22387433
232,Sépey-près-Vulliens,VD,,,
233,Schwarzenegg,BE,46.79536,7.71704,https://www.wikidata.org/wiki/Q99437662
234,Vallorbe,VD,,,
235,Modena,Etranger,44.64582,10.92572,https://www.wikidata.org/wiki/Q279
236,Zollikon,ZH,,,
237,Grandchamp,NE,,,
238,Tartu,Etranger,58.38,26.7225,https://www.wikidata.org/wiki/Q13972
239,Elsau,ZH,,,
240,Krzecin,Etranger,,,
241,Stade près de l'Elbe,Etranger,,,
242,Fleurier,NE,46.9,6.58333,https://www.wikidata.org/wiki/Q628354
243,Illzach,Etranger,,,
244,Kiel,Etranger,,,
245,Brülisau,AI,47.29856,9.45702,https://www.wikidata.org/wiki/Q99437574
246,Heiden,SG,,,
247,Rolle,VD,,,
248,Pully,VD,,,
249,Göttingen,Etranger,,,
250,Lauenen,BE,,,
251,Montpellier,Etranger,,,
252,Buchdorf,Etranger,,,
253,Giessen,Etranger,,,
254,Francfort-sur-le-Main,Etranger,,,
255,Bonn,Etranger,,,
256,Delémont,BE,47.365277777778,7.3472222222222,https://www.wikidata.org/wiki/Q63896
257,Utrecht,Etranger,,,
258,Wünnewil,FR,46.8744,7.2789,https://www.wikidata.org/wiki/Q97170360
259,Strasbourg,Etranger,,,
260,Saint-Pargoire,Etranger,,,
261,Heilbronn,Etranger,,,
262,Amriswil,TG,,,
263,Walzenhausen,AR,47.44867,9.60495,https://www.wikidata.org/wiki/Q22545370
264,Münchenbuchsee,BE,,,
265,Trubschachen,BE,46.92228,7.8452,https://www.wikidata.org/wiki/Q22529221
266,Steffisburg,BE,,,
267,Lemberg,Etranger,,,
268,Oberburg,BE,,,
269,Sonvilier,BE,,,
