id,name,birth_canton,frequency
200,Pontresina,GR,5.0
201,Le Petit-Saconnex,GE,4.0
202,Monte-Carlo,Etranger,2.0
203,Bubikon,ZH,3.0
204,Eaux-Vives (auj. comm. Genève),GE,1.0
205,Courtételle,JU,1.0
206,Auw,AG,1.0
207,Zofingue,AG,38.0
208,Binningen,BL,7.0
209,Seebach,ZH,4.0
210,Baden,AG,51.0
211,Entlebuch,LU,4.0
212,Fribourg,FR,124.0
213,Mendrisio,TI,19.0
214,Féchy,VD,2.0
215,Niederhelfenschwil,SG,1.0
216,Wäschenbeuren (Baden-Württemberg),Etranger,1.0
217,Beyrouth,Etranger,9.0
218,Wilderswil,BE,1.0
219,La Sagne,NE,4.0
220,Budapest,Etranger,32.0
221,Cartigny,GE,2.0
222,Avignon,Etranger,1.0
223,Naples,Etranger,14.0
224,Altstetten,ZH,6.0
225,Satigny,GE,7.0
226,Lyss (BE),BE,1.0
227,Wetzikon,ZH,8.0
228,Les Hauts-Geneveys,NE,1.0
229,Trieste,Etranger,7.0
230,Varsovie,Etranger,15.0
231,Macerata Feltria,Etranger,1.0
232,Elgg,ZH,4.0
233,Sépey-près-Vulliens,VD,1.0
234,Schwarzenegg,BE,2.0
235,Vallorbe,VD,8.0
236,Modène,Etranger,4.0
237,Zollikon,ZH,8.0
238,Grandchamp (comm. Boudry),NE,1.0
239,"Dorpat (Russie, auj. Tartu en Estonie)",Etranger,1.0
240,Elsau,ZH,1.0
241,"Krzecin (Galicie, Autriche-Hongrie, auj. Pologne)",Etranger,1.0
242,Stade près de l'Elbe,Etranger,1.0
243,Wülflingen (auj. comm. Winterthour),ZH,5.0
244,Fleurier,NE,21.0
245,Illzach (Alsace),Etranger,1.0
246,Kiel,Etranger,8.0
247,Brülisau (comm. Rüte),AI,1.0
248,Heiden,SG,6.0
249,Rolle,VD,8.0
250,Pully,VD,22.0
251,Göttingen,Etranger,9.0
252,Lauenen,BE,1.0
253,Montpellier,Etranger,4.0
254,Buchdorf (Bavière),Etranger,1.0
255,Giessen,Etranger,6.0
256,Francfort-sur-le-Main,Etranger,8.0
257,Bonn,Etranger,10.0
258,Delémont,BE,27.0
259,Utrecht,Etranger,2.0
260,Wünnewil,FR,1.0
261,Strasbourg,Etranger,17.0
262,Saint-Pargoire (Languedoc),Etranger,1.0
263,Heilbronn (Wurtemberg),Etranger,2.0
264,Amriswil,TG,6.0
265,Walzenhausen (AR),AR,1.0
266,Münchenbuchsee (BE),BE,1.0
267,Trubschachen,BE,3.0
268,Steffisburg,BE,11.0
269,Lemberg,Etranger,3.0
270,Oberburg (BE),BE,1.0
271,Sonvilier (BE),BE,1.0
272,Hirzel (ZH),ZH,1.0
273,Orpund,BE,1.0
274,Gossau (SG),SG,1.0
275,Weinfelden (TG),TG,1.0
276,Saint-Mihiel (Lorraine),Etranger,1.0
277,Barcelone,Etranger,7.0
278,Nuremberg,Etranger,6.0
279,Walenstadt,SG,6.0
280,Brest,Etranger,1.0
281,Annemasse,Etranger,1.0
282,Olten (SO),SO,1.0
283,Sholapore,Etranger,1.0
284,Nantes,Etranger,2.0
285,Fully,VS,1.0
286,"Grisolia Cipollina, Cosenza",Etranger,1.0
287,Brigue,VS,25.0
288,Karlsruhe,Etranger,18.0
289,Suhl,Etranger,1.0
290,Arnstadt,Etranger,1.0
291,Nankin,Etranger,1.0
292,Atzelsdorf,Etranger,1.0
293,Bremerhaven,Etranger,4.0
294,Marseille,Etranger,12.0
295,Thoune,BE,51.0
296,Athènes,Etranger,9.0
297,Guggisberg,BE,1.0
298,Gross Neukirch,Etranger,1.0
299,Arosa,GR,4.0
300,Aurich (Frise orientale),Etranger,1.0
301,Altishofen,LU,3.0
302,Moutier,BE,24.0
303,Hasle bei Burgdorf,BE,4.0
304,Wald,ZH,15.0
305,Madrid,Etranger,5.0
306,Hohenems,Etranger,6.0
307,Wolfhalden,AR,4.0
308,Schaffhausen,ZH,6.0
309,Locarno,TI,32.0
310,Stein,AG,8.0
311,Trimbach,SO,7.0
312,Stuttgart,Etranger,35.0
313,Nordhausen,Etranger,1.0
314,Saarbrücken,Etranger,3.0
315,Saint-Imier,BE,32.0
316,Dresde,Etranger,7.0
317,Tobel,TG,1.0
318,Köniz,BE,7.0
319,Kloten,ZH,7.0
320,Leon,Etranger,1.0
321,"Prien, Bavière",Etranger,1.0
322,Nepi,Etranger,1.0
323,Orbe,VD,10.0
324,Sulgen,TG,3.0
325,Bordeaux,Etranger,4.0
326,Echallens,VD,7.0
327,Bellegarde,Etranger,2.0
328,Iowa City,Etranger,2.0
329,Toronto,Etranger,3.0
330,Verrières,Etranger,1.0
331,Treysa,Etranger,1.0
332,Blaubeuren,Etranger,1.0
333,Tübingen,Etranger,7.0
334,Ilmenau,Etranger,1.0
335,Radès,Etranger,1.0
336,Neuchâtel,VD,
337,Prague,Etranger,16.0
338,Môtiers,NE,5.0
339,Berleburg (Westphalie),Etranger,1.0
340,Chemnitz,Etranger,3.0
341,Darmstadt,Etranger,8.0
342,Eschweiler,Etranger,1.0
343,Cham (ZG),ZG,1.0
344,Fällanden,ZH,3.0
345,Kilchberg,ZH,6.0
346,Kleinandelfingen,ZH,1.0
347,Richterswil,ZH,12.0
348,Morges,VD,38.0
349,Granges-près-Marnand,VD,4.0
350,Le Lieu,VD,1.0
351,Begnins,VD,3.0
352,Avenches,VD,9.0
353,Arzier,VD,1.0
354,Crissier,VD,1.0
355,Vladimir,Etranger,1.0
356,Chexbres,VD,4.0
357,Jongny,VD,2.0
358,Bière,VD,5.0
359,Lucens,VD,6.0
360,"Amillis, Seine-et-Marne",Etranger,1.0
361,Cressier,NE,1.0
362,Moudon,VD,11.0
363,Château-d'Oex,VD,10.0
364,Buenos Aires,Etranger,8.0
365,Grasswil,BE,3.0
366,Ennetbühl SG,SG,1.0
367,Krompach,Etranger,1.0
368,Zoug,ZG,53.0
369,Breslau,Etranger,17.0
370,Merksem-Antwerpen,Etranger,1.0
371,Kirberg (Nassau),Etranger,1.0
372,Poggio a Caiano,Etranger,1.0
373,Providence,Etranger,1.0
374,Teufen,AR,10.0
375,Saint-Yrieix-la-Perche,Etranger,1.0
376,Muri,AG,17.0
377,Couvet,NE,17.0
378,Rio Novo (Brésil),Etranger,1.0
379,Arnsberg,Etranger,1.0
380,Lauchhammer/Senftenberg,Etranger,1.0
381,Lucerne,Lucerne,
382,Viganello,TI,29.0
383,Croglio,TI,4.0
384,Heemstede,Etranger,1.0
385,Istanbul,Etranger,9.0
386,Sullens,VD,1.0
387,Rorbas,ZH,2.0
388,Männedorf,ZH,17.0
389,Beggingen,SH,4.0
390,Berg am Irchel,ZH,3.0
391,Regensberg,ZH,2.0
392,Glattfelden,ZH,3.0
393,Wallikon,ZH,1.0
394,Lienheim (Bade),Etranger,1.0
395,Mümliswil-Ramiswil,SO,1.0
396,Gamshurst (Bade),Etranger,1.0
397,Dielsdorf,ZH,4.0
398,Turbenthal,ZH,3.0
399,Rapperswil,SG,20.0
400,Bauma,ZH,7.0
401,Stadel,ZH,3.0
402,Rümlang,ZH,2.0
403,Füssen,Etranger,1.0
404,Seegräben,ZH,2.0
405,Burgdorf,BE,17.0
406,Glaris,GL,42.0
407,Bonneville,Etranger,1.0
408,Kappel,SO,3.0
409,Andelfingen,ZH,7.0
410,Reute,AR,2.0
411,Auvernier,NE,9.0
412,Champéry,VS,4.0
413,Mettmenstetten,ZH,6.0
414,Corbeyrier,VD,2.0
415,Meyrin,GE,4.0
416,Egelshofen,TG,2.0
417,Oberuzwil,SG,4.0
418,Münchenbuchsee,BE,6.0
419,Volken,ZH,1.0
420,Maschwanden,ZH,3.0
421,Biglen,BE,5.0
422,"Germersheim (Palatinat bavarois, auj. Rhénanie Palatinat)",Etranger,1.0
