id,name,birth_canton,frequency
825,"château de Sclassin (auj. comm. Pepinster, Belgique)",Etranger,1.0
826,"Hub (comm. Busswil, auj. comm. Sirnach)",TG,1.0
827,Altikon,ZH,1.0
828,Portsmouth (New Hampshire),Etranger,1.0
829,Sonnenberg (Hefenhofen),TG,1.0
830,Hefenhofen,TG,1.0
831,Lieli (auj. com. Hohenrain),LU,1.0
832,Hottingen (auj. comm. Zurich),ZH,5.0
833,Birmenstorf,AG,3.0
834,Ennenda,GL,6.0
835,Court,BE,1.0
836,Sagno,TI,1.0
837,Leipzig,Etranger,17.0
838,Eisenach (Thuringe),Etranger,1.0
839,Martigny-Bourg,VS,4.0
840,Steinmaur,ZH,2.0
841,Anzin (Nord-Pas-de-Calais),Etranger,2.0
842,Breitenwang (Tyrol),Etranger,1.0
843,Colombier,NE,3.0
844,Lons-le-Saunier (Jura),Etranger,1.0
845,Fontaines,NE,1.0
846,Steinegg (comm. Rüte),AI,1.0
847,Rheineck,SG,4.0
848,Jonen,AG,2.0
849,Brombach (Bade),Etranger,2.0
850,Nottwil,LU,2.0
851,Jegenstorf,BE,5.0
852,Merishausen,SH,4.0
853,Gwatt (auj. comm. Thoune),BE,1.0
854,Witebsk,Etranger,2.0
855,Bischofszell,TG,8.0
856,Murgenthal,AG,1.0
857,Uttigen,BE,1.0
858,Ardon,VS,3.0
859,L'Orient,VD,1.0
860,Roche (VD),VD,1.0
861,Achalkalaki,Etranger,1.0
862,Jouxtens,VD,1.0
863,Utzenstorf,BE,1.0
864,Vuibroye,VD,1.0
865,Adliswil,ZH,6.0
866,Ecublens (VD),VD,2.0
867,Hennens (auj. comm. Billens-Hennens),FR,1.0
868,Linthal,GL,4.0
869,Bagnes/Champsec,VS,1.0
870,Netstal,GL,4.0
871,Disentis,GR,2.0
872,Lutterbach,Etranger,1.0
873,Bedretto,TI,1.0
874,Neunkirch,SH,3.0
875,Deitingen,SO,4.0
876,Kamenz,Etranger,1.0
877,Belp,BE,4.0
878,Eschenbach (SG),SG,1.0
879,Reichenburg,SZ,1.0
880,Uzwil,SG,12.0
881,Niederscherli,BE,1.0
882,Confignon,GE,2.0
883,Wangen SZ,SZ,1.0
884,Saint-Ursanne,JU,3.0
885,Schwyz,SZ,2.0
886,Osogna,TI,2.0
887,Gilly,VD,3.0
888,Aarburg,AG,5.0
889,Menzingen,ZG,7.0
890,"Gleiwitz (Silésie, aujourd'hui Pologne)",Etranger,1.0
891,Greifswald,Etranger,1.0
892,Lachen,SZ,7.0
893,Caravaggio,Etranger,1.0
894,Zollbrück,BE,1.0
895,Bandung,Etranger,1.0
896,Téhéran,Etranger,9.0
897,Baltimore,Etranger,1.0
898,Hong Kong,Etranger,2.0
899,Kleinsteinlohe (Bavière),Etranger,1.0
900,Daillens,VD,1.0
901,Buchs,AG,
902,Metz,Etranger,4.0
903,Freudenstadt,Etranger,2.0
904,Brest (Finistère),Etranger,1.0
905,"Görz (A, auj. I)",Etranger,1.0
906,Bade,Etranger,1.0
907,Eschenz,TG,2.0
908,Santa Maria del Molise,Etranger,1.0
909,Kirchberg TG,TG,1.0
910,Brooklyn,Etranger,2.0
911,Wynau,BE,2.0
912,Offenburg (Bade),Etranger,1.0
913,Mannheim,Etranger,8.0
914,Wengen,BE,2.0
915,Porrentruy,BE,
916,Seewis im Prättigau,GR,1.0
917,Sèvres,Etranger,1.0
918,Celerina,GR,2.0
919,Vienne,Etranger,55.0
920,Newstead,Etranger,1.0
921,Fürstenau,GR,1.0
922,Florence,Etranger,7.0
923,Asuel,JU,1.0
924,Hauteville,FR,1.0
925,Bennwil,BL,3.0
926,Hanau (Hesse),Etranger,1.0
927,Constance,Etranger,8.0
928,Le Havre,Etranger,6.0
929,Gualeguaychú,Etranger,1.0
930,Vlissingen,Etranger,2.0
931,Sâles (Gruyère),FR,1.0
932,Basadingen,TG,2.0
933,Morrens,VD,1.0
934,Saanen,BE,4.0
935,Hergiswil,NW,8.0
936,Saint-Gall,SO,
937,Chougny Vandoeuvres,GE,1.0
938,La Vernaz (Haute-Savoie),Etranger,1.0
939,Besazio,TI,1.0
940,Wesserling (Alsace),Etranger,1.0
941,Thônex,GE,2.0
942,Vufflens,VD,1.0
943,Pest,Etranger,1.0
944,Allaman,VD,1.0
945,Prarustin (Piémont),Etranger,1.0
946,Sierne,GE,1.0
947,Wesserling,Etranger,1.0
948,Montauban (Tarn et Garonne),Etranger,1.0
949,Ipswich,Etranger,1.0
950,Dully,VD,2.0
951,Mauriac (Auvergne),Etranger,1.0
952,Lüdenscheid,Etranger,1.0
953,Riva San Vitale,TI,2.0
954,Schönenbuch,BL,1.0
955,Malix (auj. comm. Churwalden),GR,1.0
956,Venise,Etranger,5.0
957,Schleumen,BE,1.0
958,Ettlingen bei Karlsruhe,Etranger,1.0
959,Saint-Maurice,VS,10.0
960,Paradiso,TI,2.0
961,Gelfingen,LU,1.0
962,Buttes,NE,2.0
963,Windig,FR,2.0
964,Rarogne,VS,5.0
965,Corcelles,BE,2.0
966,Uznach,SG,11.0
967,Veringendorf,Etranger,1.0
968,Interlaken,BE,17.0
969,Wil bei Rafz,ZH,1.0
970,Uppsala,Etranger,1.0
971,Rafz,ZH,4.0
972,Diesse,BE,1.0
973,Sils-Baselgia,GR,1.0
974,Corgémont,BE,3.0
975,Martigny,VS,12.0
976,Palmyra (Illinois),Etranger,1.0
977,Magden,AG,2.0
978,Boncourt,BE,2.0
979,Stäfa,ZH,9.0
980,Dägerlen,ZH,1.0
981,Reconvilier,BE,3.0
982,Courtedoux,BE,1.0
983,Riken (auj. comm. Murgenthal),AG,1.0
984,Treyvaux,FR,3.0
985,Aadorferfeld-Elgg,ZH,2.0
986,Domdidier,FR,2.0
987,Büren (NW),NW,1.0
988,Ibach,SZ,2.0
989,Cheiry,FR,2.0
990,Alterswil,FR,3.0
991,Estavayer-le-Lac,FR,11.0
992,Guin,FR,3.0
993,Näfels,GL,10.0
994,Schlatt AI,AI,1.0
995,Herblingen,SH,1.0
996,Ingenbohl,SZ,2.0
997,Arth,SZ,7.0
998,Nunningen,SO,2.0
999,Neuhausen am Rheinfall,SH,4.0
1000,Losheim,Etranger,1.0
1001,Bratislava,Etranger,2.0
1002,Tour-de-Trême,FR,1.0
1003,Lussenga,Etranger,1.0
1004,San Nazzaro,TI,1.0
1005,St-Blasien,Etranger,1.0
1006,Edimbourg (Ecosse),Etranger,2.0
1007,Gontenschwil,AG,3.0
1008,Roveredo,GR,4.0
1009,Ljubljana,Etranger,1.0
1010,Sulz am Neckar,Etranger,1.0
1011,Scuol,GR,6.0
1012,Wolfenschiessen,NW,5.0
1013,Rastatt,Etranger,1.0
1014,Johannesburg,Etranger,4.0
1015,Bad Homburg,Etranger,2.0
1016,Degersheim,SG,3.0
1017,Rorschacherberg,SG,1.0
1018,Jestetten,Etranger,1.0
1019,Pfaffnau,LU,1.0
1020,Trondheim,Etranger,2.0
1021,Buffalo,Etranger,1.0
1022,Cuijk,Etranger,1.0
1023,Tiaret,Etranger,1.0
1024,Urbana,Etranger,1.0
1025,Harsefeld,Etranger,1.0
1026,Libourne,Etranger,1.0
1027,"Washington, D.C.",Etranger,3.0
1028,Riga,Etranger,2.0
1029,"Swinemünde, Usedom",Etranger,1.0
1030,Surbiton,Etranger,1.0
1031,"Walnut Creek, California",Etranger,1.0
1032,Zermatt,VS,1.0
1033,Bergisch Gladbach,Etranger,1.0
1034,Delhi,Etranger,1.0
1035,Windsor (Ontario),Etranger,1.0
1036,Seattle,Etranger,2.0
1037,Detroit (Michigan),Etranger,1.0
1038,Pau,Etranger,1.0
1039,Fürstenwalde/Spree,Etranger,1.0
1040,Pescara,Etranger,1.0
1041,Menziken,AG,12.0
1042,Pennsylvania,Etranger,2.0
1043,Erlenbach am Main,Etranger,1.0
1044,Guildford,Etranger,1.0
1045,Rehau,Etranger,1.0
1046,Wilhelmshaven,Etranger,2.0
1047,Nedroma,Etranger,1.0
1048,Mainz,Etranger,9.0
1049,São João de Loure,Etranger,1.0
1050,Gliwice,Etranger,2.0
1051,Niederlandisch,BE,1.0
1052,Bregenz,Etranger,3.0
1053,Kaufbeuren,Etranger,1.0
1054,Schaan,Etranger,2.0
1055,Luxembourg,Etranger,4.0
1056,Cheseaux-sur-Lausanne,VD,4.0
1057,Bennwil,Etranger,
1058,Charmey,FR,3.0
1059,"Büdingen, (Hesse)",Etranger,1.0
1060,Mérida,Etranger,1.0
1061,Silésie,Etranger,3.0
1062,Divonne,Etranger,1.0
1063,Soultz (Haut-Rhin),Etranger,1.0
1064,Rouen,Etranger,2.0
1065,Hirschberg (Basse-Silésie),Etranger,1.0
1066,Wilchingen,SH,1.0
1067,Oberfischach (Württemberg),Etranger,1.0
1068,Cali,Etranger,1.0
1069,Schaffhausen,SO,
1070,Saint-Raphaël,Etranger,1.0
1071,Winterberg,ZH,1.0
1072,Tertre,Etranger,1.0
1073,Meissen,Etranger,2.0
1074,Bergame,Etranger,6.0
1075,Kassel,Etranger,3.0
1076,Dorpat,Etranger,3.0
1077,Toulouse,Etranger,7.0
1078,Schwäbisch Gmünd,Etranger,1.0
1079,Hanovre,Etranger,9.0
1080,Tobolsk (Sibérie),Etranger,1.0
1081,Stallupoenen,Etranger,1.0
1082,Frascati,Etranger,1.0
1083,Léogeats (Aquitaine),Etranger,1.0
1084,Duillier,VD,1.0
1085,Quintin (Côtes-d'Armor),Etranger,1.0
1086,Angers (Maine-et-Loire),Etranger,1.0
1087,Lombeek-Notre-Dame,Etranger,1.0
1088,Königsberg (auj. Kaliningrad),Etranger,8.0
1089,Märwil (auj. comm. Affeltrangen),TG,1.0
1090,Les Brenets,NE,4.0
1091,Renan,BE,1.0
1092,Berndorf,Etranger,1.0
1093,Bunziwil,FR,1.0
1094,"Brandenburg, Schleswig",Etranger,1.0
1095,Liegnitz,Etranger,2.0
1096,Fulda,Etranger,1.0
1097,Pöllau (Steiermark),Etranger,1.0
1098,Holzheim (Bavière),Etranger,1.0
1099,Drahan,Etranger,1.0
1100,Milie (Bukowina) (auj. Ukraine),Etranger,1.0
1101,Pörtschach am Wörthersee,Etranger,1.0
1102,Moguilev,Etranger,1.0
1103,(New Orleans),Etranger,1.0
1104,Oppeln,Etranger,1.0
1105,Reichenbach im Vogtland,Etranger,1.0
1106,Telsze,Etranger,1.0
1107,Heilsberg (auj. Lidzbark Warmiński),Etranger,1.0
1108,Zaukerode,Etranger,1.0
1109,Jätzdorf,Etranger,1.0
1110,Uerzig sur la Moselle,Etranger,1.0
1111,Erdobénye,Etranger,1.0
1112,Liptószentmiklós,Etranger,1.0
1113,Pettau,Etranger,1.0
1114,Kaldenkirchen (Rhénanie-du-Nord-Westphalie),Etranger,1.0
1115,Dubrovna,Etranger,1.0
1116,L'Aquila (Abruzzes),Etranger,1.0
1117,Vilémov,Etranger,1.0
1118,Neunkirchen (Trier),Etranger,1.0
1119,Buchs (LU),LU,1.0
1120,Sisseln,AG,1.0
1121,Técső,Etranger,1.0
1122,Linz,Etranger,6.0
1123,Geislingen an der Steige (Baden-Würtenberg),Etranger,2.0
1124,Attelwil,AG,1.0
1125,Bibersfeld,Etranger,1.0
1126,Barmen,Etranger,2.0
1127,Bruneck,Etranger,1.0
1128,Piovene,Etranger,1.0
1129,Reising / Bayer,Etranger,1.0
1130,Rovigo,Etranger,1.0
1131,Samiano (Burgos),Etranger,1.0
1132,Lobberich (Rhénanie-du-Nord-Westphalie),Etranger,1.0
1133,Beckenried,NW,6.0
1134,Walldürn,Etranger,1.0
1135,L'Etivaz,VD,1.0
1136,Sonvilier,BE,9.0
1137,La Brévine,NE,4.0
1138,Sigriswil,BE,2.0
1139,Marin,NE,2.0
1140,Jüterbog,Etranger,1.0
1141,Kemptthal,ZH,1.0
1142,Burg,AG,5.0
1143,Strättligen,BE,3.0
1144,Riesbach,ZH,8.0
1145,Stadtlauringen (Bavière),Etranger,1.0
1146,Wloclawek,Etranger,1.0
1147,Oberriet,SG,1.0
1148,Vukovar,Etranger,1.0
1149,Broglio,TI,2.0
1150,Trier,Etranger,7.0
1151,Le Solliat,VD,1.0
1152,Tiflis,Etranger,2.0
1153,Waldau,Etranger,1.0
1154,Bogota,Etranger,2.0
1155,Münster (Westphalie),Etranger,1.0
1156,Gleiwitz,Etranger,1.0
1157,Czuszów,Etranger,1.0
1158,Salon-de-Provence (Bouches du Rhône),Etranger,1.0
1159,Sankt Chrischona,BS,2.0
1160,Peseux,NE,6.0
1161,Weiningen TG,TG,1.0
1162,Weinheim,Etranger,1.0
1163,Pfullendorf (Baden),Etranger,1.0
1164,Beuthen,Etranger,1.0
1165,Dorville (Guadeloupe),Etranger,1.0
1166,Oldenburg (Basse-Saxe),Etranger,2.0
1167,Guntur (Andhra),Etranger,1.0
1168,Magdeburg,Etranger,4.0
1169,Kaltenbach,TG,1.0
1170,Neuravensburg,Etranger,1.0
1171,Coligny,Etranger,1.0
1172,Torhout,Etranger,1.0
1173,Frankenstein,Etranger,1.0
1174,Nysa,Etranger,1.0
1175,Santiago de Chile,Etranger,1.0
1176,Thielle-Wavre,NE,1.0
1177,Thusis,GR,2.0
1178,Verviers,Etranger,2.0
1179,Bussum,Etranger,1.0
1180,Weisslingen,ZH,3.0
1181,Surakarta (Java),Etranger,1.0
1182,Gyéres,Etranger,1.0
1183,Mascara,Etranger,1.0
1184,Söderhamn,Etranger,1.0
1185,Gelterkinden,BL,5.0
1186,Mazatenango,Etranger,1.0
1187,Steckborn,TG,5.0
1188,Lindau,ZH,3.0
1189,Hove Sussex,Etranger,1.0
1190,Anvers,Etranger,6.0
1191,Fritzlar (Hesse),Etranger,1.0
1192,Perrefitte,BE,1.0
1193,Oviedo,Etranger,1.0
1194,Lisieux,Etranger,1.0
1195,Marbach SG,SG,1.0
1196,Bruxelles-Schærbeek,Etranger,1.0
1197,Romanel-sur-Lausanne,VD,4.0
1198,Lübbecke,Etranger,1.0
1199,Gottesberg,Etranger,1.0
1200,Mons-en-Baroeul (Nord-Pas-de-Calais),Etranger,1.0
1201,Rovio,TI,3.0
1202,"Ciudad de Rio, Cordoba",Etranger,1.0
1203,Masulipatam,Etranger,1.0
1204,"Montceau-les-Mines, Saône-et-Loire",Etranger,1.0
1205,Ecoteaux,VD,1.0
1206,"Chrzanów, Oberschlesien",Etranger,1.0
1207,Abadan,Etranger,1.0
1208,Glasgow,Etranger,1.0
1209,Mesocco,GR,1.0
1210,Sankt Margrethen,SG,1.0
1211,Affoltern,ZH,3.0
1212,Bronschhofen,SG,1.0
1213,Genolier,VD,2.0
1214,Vieux-Thann (Alsace),Etranger,1.0
1215,Villefranche-sur-Mer,Etranger,1.0
1216,Brno,Etranger,2.0
1217,Develier,BE,1.0
1218,Douanne-Twann,BE,1.0
1219,Megève (Haute-Savoie),Etranger,1.0
1220,Quedlinburg,Etranger,1.0
1221,Thayngen,SH,1.0
1222,Banjarmasin,Etranger,1.0
1223,Mülheim an der Ruhr,Etranger,3.0
1224,Oldenburg,Etranger,2.0
1225,Pezinok,Etranger,1.0
1226,Friedrichshafen,Etranger,4.0
1227,Mardin,Etranger,1.0
1228,Lviv,Etranger,1.0
1229,Mogelsberg,SG,3.0
1230,"Birchanger, Essex",Etranger,1.0
1231,Czestochowa,Etranger,1.0
1232,Gruyères,FR,2.0
1233,Münstertal,Etranger,1.0
1234,Königsberg,Etranger,5.0
1235,Renens,VD,7.0
1236,Dumyat,Etranger,1.0
1237,Oberleutensdorf,Etranger,1.0
1238,Grünenmatt,BE,1.0
1239,Münsingen,BE,6.0
1240,Sünikon,ZH,1.0
1241,Oberdiessbach,BE,5.0
1242,San Giovanni Incarico,Etranger,1.0
1243,Rivoli (Turin),Etranger,1.0
1244,Liège,Etranger,10.0
1245,Abaeté,Etranger,1.0
1246,Le Cerneux-Péquignot,NE,1.0
1247,Chiasso,TI,13.0
1248,Kecskemét,Etranger,1.0
1249,Egg,ZH,3.0
1250,Buix,BE,1.0
1251,Kirchdorf an der Krems,Etranger,1.0
1252,Strem,Etranger,1.0
1253,Reichenberg (Liberec),Etranger,1.0
1254,Hamm,Etranger,1.0
1255,Vlastislav,Etranger,1.0
1256,Offenbach am Main,Etranger,4.0
1257,Brême,Etranger,9.0
1258,Raettvik,Etranger,1.0
1259,Teplitz-Schönau,Etranger,1.0
1260,Nittenau,Etranger,1.0
1261,Bordighera,Etranger,1.0
1262,Böhmisch Budweis,Etranger,1.0
1263,Rostock,Etranger,1.0
1264,Newcastle upon Tyne,Etranger,1.0
1265,Augsburg,Etranger,4.0
1266,Cardiff,Etranger,1.0
1267,Clarens-sur-Montreux,VD,1.0
1268,"Epinal, Vosges",Etranger,1.0
1269,Bremgarten,AG,7.0
1270,Tarente,Etranger,1.0
1271,Bezau (Vorarlberg),Etranger,1.0
1272,Oberkirch,LU,3.0
1273,Bagnères de Bigorre,Etranger,1.0
1274,Bad Säckingen,Etranger,1.0
1275,Corleone,Etranger,1.0
1276,Sofia,Etranger,5.0
1277,Poitiers,Etranger,1.0
1278,Ulm,Etranger,4.0
1279,Le Cap,Etranger,3.0
1280,Münsterlingen,TG,4.0
1281,Rain,LU,1.0
1282,Forbach,Etranger,1.0
1283,Sittard,Etranger,1.0
1284,Limbus,Etranger,1.0
1285,Lahore,Etranger,1.0
1286,Weissenbach an der Enns,Etranger,1.0
1287,Dettwiller,Etranger,1.0
1288,Donatyre,VD,1.0
1289,Lund,Etranger,3.0
1290,Deesen/Westerwald,Etranger,1.0
1291,Paris,VD,
1292,Chercenay,BE,1.0
1293,Abiada,Etranger,1.0
1294,Willisau,LU,3.0
1295,Weidenau (Siegen),Etranger,1.0
1296,Stondon,Etranger,1.0
1297,Rendsburg (Schleswig-Holstein),Etranger,1.0
1298,Quesitz bei Leipzig,Etranger,1.0
1299,Horb-Nordstetten,Etranger,1.0
1300,Jablonec/Gablonz,Etranger,1.0
1301,Helsinki,Etranger,2.0
1302,Pötzling (Landkreis Nürnberg),Etranger,1.0
1303,"Wilmington, Delaware",Etranger,1.0
1304,Berchtesgaden (Bavière),Etranger,1.0
1305,Bombay,Etranger,4.0
1306,Liebenwalde (Kreis Niederbarnim),Etranger,1.0
1307,Easton (Pennsylvanie),Etranger,1.0
1308,Pittsburgh,Etranger,3.0
1309,Taormina,Etranger,1.0
1310,Saint Louis,Etranger,1.0
1311,Courgenay,BE,3.0
1312,Schwerzenbach,ZH,1.0
1313,Naumburg,Etranger,2.0
1314,Hannoversch Münden (Niedersachsen),Etranger,1.0
1315,Domodossola,Etranger,2.0
1316,Västeras,Etranger,1.0
1317,Havane,Etranger,2.0
1318,Köthen (Anhalt),Etranger,1.0
1319,Penzance,Etranger,2.0
1320,Godesberg,Etranger,1.0
1321,Hirschberg,Etranger,2.0
1322,Bamberg,Etranger,4.0
1323,Corvallis (Oregon),Etranger,1.0
1324,Leuggern,AG,5.0
1325,Zagreb,Etranger,6.0
1326,Vrin,GR,1.0
1327,Lobenstein Thüringen,Etranger,1.0
1328,Potsdam,Etranger,1.0
1329,North Olmsted,Etranger,1.0
1330,Goldach,SG,3.0
1331,Tschierv,GR,1.0
1332,Stettin,Etranger,1.0
1333,Bari,Etranger,4.0
1334,Bonfol,BE,
1335,Clermont-Ferrand,Etranger,5.0
1336,"Long Branch, N.J.",Etranger,1.0
1337,Poiana Maggiore (Veneto),Etranger,1.0
1338,Moscice,Etranger,1.0
1339,"Royan, Charente-Maritime",Etranger,1.0
1340,Perugia,Etranger,1.0
1341,Rinteln,Etranger,1.0
1342,Giswil,OW,2.0
1343,Bielitz,Etranger,1.0
1344,Bingen am Rhein,Etranger,1.0
1345,Brunswick,Etranger,4.0
1346,Cuxhaven,Etranger,2.0
1347,Hermsdorf,Etranger,1.0
1348,Klein-Eichstedt (Sachsen),Etranger,1.0
1349,Laukischken,Etranger,1.0
1350,Ludwigsburg (Württemberg),Etranger,1.0
1351,Elmshorn,Etranger,1.0
1352,Ernstthal,Etranger,1.0
1353,Reutlingen (Württemberg),Etranger,2.0
1354,Schreiberhau,Etranger,1.0
1355,Hauerz,Etranger,1.0
1356,Hohenrechberg,Etranger,1.0
1357,Homburg vor der Höhe,Etranger,1.0
1358,Kirch-Beerfurth,Etranger,1.0
1359,Köslin,Etranger,1.0
1360,Coquimbo,Etranger,1.0
1361,Halle,Etranger,3.0
1362,Marienwerder,Etranger,1.0
1363,Montjoie,Etranger,1.0
1364,Schwerin,Etranger,2.0
1365,Stralsund,Etranger,2.0
1366,Wertheim am Main,Etranger,1.0
1367,Bath,Etranger,2.0
1368,Mödling,Etranger,1.0
1369,Vöcklabruck,Etranger,1.0
1370,Avranches,Etranger,1.0
1371,Gasny,Etranger,1.0
1372,Ribérac,Etranger,1.0
1373,Salins,VS,2.0
1374,Wasselheim (Alsace),Etranger,1.0
1375,Messina,Etranger,1.0
1376,Morra De Sanctis,Etranger,1.0
1377,Strassburg,Etranger,1.0
1378,Oslo,Etranger,3.0
1379,Alexoten,Etranger,1.0
1380,Le Caire,Etranger,4.0
1381,Neuhof,AG,1.0
1382,Knonau,ZH,1.0
1383,Laibach,Etranger,1.0
1384,Grandson,VD,7.0
1385,Nods,BE,2.0
1386,Oberstrass-Zürich,ZH,1.0
1387,Odrau,Etranger,1.0
1388,Ormont-Dessus,VD,2.0
1389,Rapperswil-Dieterswil,BE,1.0
1390,Sargans,SG,4.0
1391,Brünn,Etranger,2.0
1392,Seen-Winterthur,ZH,1.0
1393,Töss-Winterthur,ZH,1.0
1394,Triengen,LU,3.0
1395,Pápa,Etranger,1.0
1396,Montabaur,Etranger,1.0
1397,Parme,Etranger,1.0
1398,Carthaus,Etranger,1.0
1399,Katwijk,Etranger,1.0
1400,Evreux,Etranger,1.0
1401,Praz (Vully),FR,1.0
1402,"Mazet-Saint-Voy, Haute-Loire",Etranger,1.0
1403,Courchavon,BE,1.0
1404,"Carpentras, Vaucluse",Etranger,1.0
1405,Breslau / Schlesien,Etranger,1.0
1406,"Pranles, Ardèche",Etranger,1.0
1407,"Aubagne, Bouches-du-Rhône",Etranger,1.0
1408,Osnabrück,Etranger,3.0
1409,Bourges,Etranger,1.0
1410,Port-Saïd,Etranger,1.0
1411,Corban,BE,1.0
1412,Kaboul,Etranger,2.0
1413,Tortona,Etranger,1.0
1414,Tlemçen,Etranger,1.0
1415,Mostaganem,Etranger,1.0
1416,"Helmstedt, Niedersachsen",Etranger,1.0
1417,"Seltmans, Bavière",Etranger,1.0
1418,Köln,Etranger,3.0
1419,Ahaus,Etranger,1.0
1420,Guben,Etranger,1.0
1421,Neuss,Etranger,1.0
1422,Weil am Rhein,Etranger,1.0
1423,Haslach im Kinzigtal,Etranger,1.0
1424,Mährisch Schönberg,Etranger,1.0
1425,Tüllingen,Etranger,1.0
1426,Celle,Etranger,1.0
1427,Waldbröl,Etranger,1.0
1428,Wasserburg am Inn,Etranger,1.0
1429,Moenchengladbach,Etranger,1.0
1430,Dunedoo,Etranger,1.0
1431,Uccle,Etranger,1.0
1432,Aubange,Etranger,1.0
1433,Namur,Etranger,4.0
1434,Zottegem,Etranger,1.0
1435,Batak,Etranger,1.0
1436,Ouagadougou,Etranger,1.0
1437,LaSalle QC,Etranger,1.0
1438,Seoul,Etranger,1.0
1439,Valladolid,Etranger,1.0
1440,Hoboken (New Jersey),Etranger,1.0
1441,(Ohio),Etranger,1.0
1442,Espoo,Etranger,2.0
1443,Vantaa,Etranger,1.0
1444,Rovaniemi,Etranger,1.0
1445,"Chaux, Haute-Saône",Etranger,1.0
1446,"Ambilly, Haute-Savoie",Etranger,1.0
1447,Oyonnax,Etranger,1.0
1448,Perpignan,Etranger,2.0
1449,Thionville,Etranger,1.0
1450,Carcassonne,Etranger,1.0
1451,Pierrecourt,Etranger,1.0
1452,Pont-à-Mousson,Etranger,1.0
1453,"Neuvic sur Isle, Dordogne",Etranger,1.0
1454,Rennes,Etranger,2.0
1455,Scarborough,Etranger,1.0
1456,Nelson,Etranger,1.0
1457,Thessalonique,Etranger,2.0
1458,Debrecen,Etranger,2.0
1459,Padoue,Etranger,3.0
1460,Trento,Etranger,1.0
1461,Camino,Etranger,1.0
1462,Bologne,Etranger,5.0
1463,Viareggio,Etranger,1.0
1464,Boujad,Etranger,1.0
1465,Dortmund,Etranger,3.0
1466,Haarlem,Etranger,2.0
1467,Lima,Etranger,1.0
1468,Belgrade,Etranger,5.0
1469,Hsin-Chu,Etranger,1.0
1470,Cerna,Etranger,1.0
1471,Kante,Etranger,1.0
1472,Bizerte,Etranger,1.0
1473,Ksar-Hellal,Etranger,1.0
1474,Da Nang,Etranger,1.0
1475,Mexico City,Etranger,1.0
1476,"New Haven, Connecticut",Etranger,1.0
1477,Ruhengeri,Etranger,1.0
1478,Annecy,Etranger,1.0
1479,Pfeffikon,LU,1.0
1480,Vésenex-Crassy (Ain),Etranger,1.0
1481,Gühlitz près Perleberg (Prusse),Etranger,1.0
1482,Mühledorf BE,BE,1.0
1483,Evian-les-Bains,Etranger,1.0
1484,Beinwil am See,AG,2.0
1485,Ramsen,SH,2.0
1486,Jena,Etranger,4.0
1487,Maastricht,Etranger,1.0
1488,Meran,Etranger,2.0
1489,Gronau,Etranger,1.0
1490,Laufenburg,AG,5.0
1491,Altenkirchen (Bayern),Etranger,1.0
1492,Civitella del Tronto bei Ascoli Piceno,Etranger,1.0
1493,Bergzabern,Etranger,1.0
1494,Minneapolis,Etranger,2.0
1495,Oberkassel,Etranger,1.0
1496,Wischau,Etranger,1.0
1497,Agon,Etranger,1.0
1498,Samolenz (Posen),Etranger,1.0
1499,Düren,Etranger,1.0
1500,Zimmerwald,BE,1.0
1501,Brody,Etranger,1.0
1502,Grimisuat,VS,2.0
1503,Guadeloupe,Etranger,1.0
1504,Wangen am Untersee,Etranger,1.0
1505,Ràbacsécsény,Etranger,1.0
1506,Solothurn,SO,9.0
1507,Mstislaw,Etranger,1.0
1508,Felben,TG,2.0
1509,Wrocław,Etranger,1.0
1510,Sochi,Etranger,1.0
1511,Nicosia,Etranger,1.0
1512,Ancône,Etranger,1.0
1513,San Daniele del Friuli,Etranger,1.0
1514,Bačko Petrovo Selo,Etranger,1.0
1515,Gretzenbach,SO,1.0
1516,Illhart,TG,1.0
1517,Tokyo,Etranger,4.0
1518,Bernkastel-Kues,Etranger,1.0
1519,Novara,Etranger,2.0
1520,Sora,Etranger,1.0
1521,Charleston (West Virginia),Etranger,1.0
1522,Ottawa,Etranger,1.0
1523,Hangzhou,Etranger,1.0
1524,Wölflinswil,AG,3.0
1525,Porrentruy,Berne,
1526,Hettlingen,ZH,3.0
1527,Loèche-Les-Bains,VS,1.0
1528,Wiliberg,AG,1.0
1529,Vufflens-le-Château,VD,1.0
1530,Singapour,Etranger,4.0
1531,Santiago,Etranger,3.0
1532,Neu-Ulm,Etranger,1.0
1533,Modesto,Etranger,1.0
1534,Alahärmä,Etranger,1.0
1535,Pont-Sainte-Maxence,Etranger,1.0
1536,Bangalore,Etranger,1.0
1537,Nidda,Etranger,1.0
1538,Quito,Etranger,1.0
1539,Newark,Etranger,1.0
1540,Meknes,Etranger,2.0
1541,Lisbonne,Etranger,2.0
1542,Nashville,Etranger,1.0
1543,Addis-Abeba,Etranger,1.0
1544,Aalen,Etranger,1.0
1545,King's Lynn,Etranger,1.0
1546,Solingen,Etranger,1.0
1547,Grabs,SG,10.0
1548,Trutnov,Etranger,1.0
1549,Hazaribagh,Etranger,1.0
1550,Bussigny-sur-Oron,VD,1.0
1551,Zumikon,ZH,2.0
1552,Zullwil,SO,1.0
1553,Gloucestershire,Etranger,1.0
1554,Windisch,AG,2.0
1555,Donauwörth,Etranger,1.0
1556,Koblenz,Etranger,3.0
1557,Sarajevo,Etranger,2.0
1558,Ennetbaden,AG,3.0
1559,Les Pâquis,GE,1.0
1560,Aarberg,BE,8.0
